date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:32:35	370734/370734	---MCZ	200	added ('OK')	text/html	etag:cacheable:06bcf74de5339ee67b13e87d42638dc4	https://itcstore.in/collections/savlon-surface-disinfectant	C:/My%20Web%20Sites/ITC/itcstore.in/collections/savlon-surface-disinfectant.html	(from https://itcstore.in/)
13:32:36	369981/369981	---MCZ	200	added ('OK')	text/html	etag:cacheable:1e8a0f71753675bec6936108353d01df	https://itcstore.in/collections/savlon-clothes-disinfectant-spray	C:/My%20Web%20Sites/ITC/itcstore.in/collections/savlon-clothes-disinfectant-spray.html	(from https://itcstore.in/)
13:32:36	371569/371569	---MCZ	200	added ('OK')	text/html	etag:cacheable:227fb324cdc8f568bd121b8196418d7f	https://itcstore.in/collections/savlon-ffp2-s-masks	C:/My%20Web%20Sites/ITC/itcstore.in/collections/savlon-ffp2-s-masks.html	(from https://itcstore.in/)
13:32:37	370403/370403	---MCZ	200	added ('OK')	text/html	etag:cacheable:a6d273f46078cf32866253b7d854a3e5	https://itcstore.in/collections/savlon-wipes	C:/My%20Web%20Sites/ITC/itcstore.in/collections/savlon-wipes.html	(from https://itcstore.in/)
13:32:37	371108/371108	---MCZ	200	added ('OK')	text/html	etag:cacheable:cafa24c4bfeb9491fb745b356cb6959b	https://itcstore.in/collections/savlon-hand-sanitizers	C:/My%20Web%20Sites/ITC/itcstore.in/collections/savlon-hand-sanitizers.html	(from https://itcstore.in/)
13:32:38	370685/370685	---MCZ	200	added ('OK')	text/html	etag:cacheable:4688b06725509bcf595e6cff85dd387c	https://itcstore.in/collections/savlon-handwash	C:/My%20Web%20Sites/ITC/itcstore.in/collections/savlon-handwash.html	(from https://itcstore.in/)
13:32:39	370611/370611	---MCZ	200	added ('OK')	text/html	etag:cacheable:98f0c89209121fbc58b319d8ff28db58	https://itcstore.in/collections/savlon-laundry-disinfectant	C:/My%20Web%20Sites/ITC/itcstore.in/collections/savlon-laundry-disinfectant.html	(from https://itcstore.in/)
13:32:39	370688/370688	---MCZ	200	added ('OK')	text/html	etag:cacheable:10d386bdf98d392c814dd96adaa2a04f	https://itcstore.in/collections/savlon-home-cleaners	C:/My%20Web%20Sites/ITC/itcstore.in/collections/savlon-home-cleaners.html	(from https://itcstore.in/)
13:32:39	370556/370556	---MCZ	200	added ('OK')	text/html	etag:cacheable:dc79e290b5a53194868252ce48ed983d	https://itcstore.in/collections/savlon-soap	C:/My%20Web%20Sites/ITC/itcstore.in/collections/savlon-soap.html	(from https://itcstore.in/)
13:32:40	388282/388282	---MCZ	200	added ('OK')	text/html	etag:cacheable:f6c23569b87638f11e945329eff5b343	https://itcstore.in/pages/charmis	C:/My%20Web%20Sites/ITC/itcstore.in/pages/charmis.html	(from https://itcstore.in/)
13:32:41	369644/369644	---MCZ	200	added ('OK')	text/html	etag:cacheable:70206261489eb8376d277751c49876e7	https://itcstore.in/collections/charmis-creams	C:/My%20Web%20Sites/ITC/itcstore.in/collections/charmis-creams.html	(from https://itcstore.in/)
13:32:41	370393/370393	---MCZ	200	added ('OK')	text/html	etag:cacheable:a8e8b42db68941d26b771f77dc6b79f8	https://itcstore.in/collections/charmis-facewash	C:/My%20Web%20Sites/ITC/itcstore.in/collections/charmis-facewash.html	(from https://itcstore.in/)
13:32:42	369625/369625	---MCZ	200	added ('OK')	text/html	etag:cacheable:572ca9d2f051f12f321d09699df63462	https://itcstore.in/collections/charmis-serum	C:/My%20Web%20Sites/ITC/itcstore.in/collections/charmis-serum.html	(from https://itcstore.in/)
13:32:42	370437/370437	---MCZ	200	added ('OK')	text/html	etag:cacheable:6342040fbb2d30b60cb4c0e64a587721	https://itcstore.in/collections/charmis-hand-cream	C:/My%20Web%20Sites/ITC/itcstore.in/collections/charmis-hand-cream.html	(from https://itcstore.in/)
13:32:43	407916/407916	---MCZ	200	added ('OK')	text/html	etag:cacheable:adbe41dd376b2b95641d75ebeba0e59e	https://itcstore.in/pages/dermafique	C:/My%20Web%20Sites/ITC/itcstore.in/pages/dermafique.html	(from https://itcstore.in/)
13:32:44	370813/370813	---MCZ	200	added ('OK')	text/html	etag:cacheable:066308dcef07984cd066ff5aa531429b	https://itcstore.in/collections/dermafique-anti-ageing	C:/My%20Web%20Sites/ITC/itcstore.in/collections/dermafique-anti-ageing.html	(from https://itcstore.in/)
13:32:45	370841/370841	---MCZ	200	added ('OK')	text/html	etag:cacheable:0be67fb7ea2bf806db3e7999256538e5	https://itcstore.in/collections/dermafique-body-care	C:/My%20Web%20Sites/ITC/itcstore.in/collections/dermafique-body-care.html	(from https://itcstore.in/)
13:32:46	370818/370818	---MCZ	200	added ('OK')	text/html	etag:cacheable:6a5cb50f8fddcce9a5ab9b185dbd4305	https://itcstore.in/collections/dermafique-cleanser	C:/My%20Web%20Sites/ITC/itcstore.in/collections/dermafique-cleanser.html	(from https://itcstore.in/)
